gender,married,has_children,age,reisen_gesamt,stornierte_reisen,rooms_avg,nights_avg,hotel_price_avg,hotel_count,seats_avg,flight_price_avg,flight_count,checked_bags_avg,session_dauer_avg_sec,cluster,user_id
1,1,0,69,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.375,0,566002
0,1,1,33,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.75,0,576785
1,0,1,46,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.375,0,494441
1,1,1,55,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.75,0,587233
1,1,0,40,1,0.0,1.0,2.0,274.0,1.0,0.0,0.0,0.0,0.0,77.375,0,619971
1,1,1,32,1,0.0,1.0,2.0,136.0,1.0,0.0,0.0,0.0,0.0,103.0,0,534499
1,0,0,24,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,0,532905
1,1,0,68,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,0,514642
1,0,0,19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.375,0,535682
1,1,0,58,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.25,0,532774
1,1,0,58,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.125,0,526916
1,0,0,19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.625,0,555075
1,1,1,57,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.5,0,660894
1,0,0,26,1,0.0,1.0,4.0,312.0,1.0,0.0,0.0,0.0,0.0,86.375,0,563052
1,0,0,24,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.875,0,568917
1,0,1,18,1,0.0,1.0,5.0,525.0,1.0,0.0,0.0,0.0,0.0,69.375,0,563691
1,0,1,34,1,0.0,0.0,0.0,0.0,0.0,1.0,807.06,1.0,1.0,79.75,0,522873
1,0,0,18,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.125,0,458725
1,0,0,19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.125,0,556395
1,1,0,70,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.625,0,569643
0,1,1,33,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.25,0,541132
1,0,0,23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.375,0,517219
0,1,0,71,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.125,0,608786
1,0,1,21,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.125,0,741190
1,0,0,38,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.625,0,543620
1,1,0,23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.25,0,518645
1,0,0,40,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.625,0,524885
0,0,0,22,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.875,0,544507
1,0,0,43,1,0.0,1.0,2.0,228.0,1.0,0.0,0.0,0.0,0.0,75.444444444,0,482335
1,1,1,51,1,0.0,0.0,0.0,0.0,0.0,1.0,421.44,1.0,1.0,50.5,0,651018
1,1,1,30,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.5,0,577901
1,0,1,34,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.888888888,0,567943
0,1,0,64,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.5,0,530633
1,0,0,53,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.75,0,584217
1,0,0,18,1,0.0,1.0,3.0,315.0,1.0,0.0,0.0,0.0,0.0,55.0,0,647638
1,0,0,25,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.5,0,567390
0,0,1,36,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.333333333,0,504916
1,0,0,18,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.166666666,0,488430
1,0,1,19,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.5,0,607197
1,0,0,20,3,1.0,0.0,0.0,0.0,0.0,1.0,226.09,1.0,1.0,38.833333333,0,662596
0,0,0,21,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.625,0,586257
0,0,1,27,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.75,0,516967
1,1,0,28,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.375,0,688312
1,0,1,32,1,0.0,1.0,3.0,180.0,1.0,0.0,0.0,0.0,0.0,94.625,0,617964
1,0,0,18,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.375,0,648201
1,0,0,25,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,0,531803
1,0,0,22,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.125,0,603221
1,1,0,69,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.375,0,595690
1,0,0,36,1,0.0,1.0,4.0,360.0,1.0,0.0,0.0,0.0,0.0,77.375,0,590659
1,1,1,58,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.333333333,0,527801
1,0,0,24,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.875,0,656850
1,1,1,41,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.75,0,512529
1,0,0,33,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.777777777,0,544364
1,0,0,25,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.125,0,560948
1,0,1,19,2,0.0,1.0,4.0,498.5,2.0,0.0,0.0,0.0,0.0,102.625,0,564588
0,0,0,22,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.125,0,542857
1,1,0,43,3,1.0,0.0,0.0,0.0,0.0,1.0,392.93,1.0,1.0,75.285714285,0,531339
1,0,0,24,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.125,0,489131
1,1,0,73,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.375,0,579503
1,0,0,18,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.555555555,0,514931
1,0,0,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.375,0,496074
1,0,0,21,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.111111111,0,596329
